idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.1445078324,0.3037225630,0.6513354152,0.2173323893,0.2018505199,0.1010439270
2,2.9856368568,0.4441103449,1.3259522143,0.3010229914,0.3272627563,0.2167474220
3,2.6957942603,0.4219114844,1.1373865581,0.2745699250,0.3778460096,0.1449896265
4,2.6388549941,0.4243585358,1.1198206414,0.2974735809,0.3240215683,0.1509300235
5,2.3376982301,0.4674971964,1.0928673685,0.3189923356,0.3572976052,0.1781482470
6,2.4068896924,0.3969936400,0.9555199000,0.2837907097,0.3158027364,0.1709229142
7,2.5313312061,0.4985728134,1.2620529210,0.3557835918,0.3810254802,0.2144995520
8,2.2857335590,0.4274477527,0.9770316731,0.2520681340,0.3048482964,0.1901016022
9,3.1649520715,0.4527858721,1.4330455837,0.3191310584,0.3607255661,0.1545492864
10,2.3971267584,0.3587883635,0.8600611868,0.2837648077,0.2822022804,0.1403395653
11,2.6180666128,0.4574498899,1.1976342837,0.2888979452,0.3580845224,0.2115089240
12,2.0427599059,0.3971867079,0.8113570821,0.2711886237,0.2480371825,0.1380697591
13,1.9449088034,0.3647088895,0.7093255298,0.2076902650,0.2716631156,0.1081726795
14,2.6288801720,0.4061265849,1.0676581264,0.3257593304,0.3236761265,0.1447269100
15,2.6095182548,0.3549111370,0.9261470908,0.2379755701,0.3456176285,0.1566607253
16,2.1160494689,0.3891254234,0.8234086455,0.2587333935,0.2741325441,0.1428491678
17,2.1938110663,0.4452151910,0.9767180129,0.2512095370,0.3309355341,0.1862221856
18,2.1528414019,0.3854751321,0.8298668237,0.2589578358,0.3065456087,0.1287192803
19,2.3164228928,0.4044387853,0.9368512610,0.2310517119,0.3430215501,0.1634994450
20,2.6632161020,0.4656854993,1.2402211201,0.3125747266,0.3983050086,0.1862561787
21,2.0116285345,0.5099416782,1.0258132308,0.3260302550,0.3558915530,0.1568375937
22,2.2934630132,0.4295880479,0.9852442989,0.3133959835,0.3080730302,0.1329292519
23,2.4207633631,0.4623778091,1.1193072602,0.2860409765,0.3386398820,0.1668655190
24,2.2472845630,0.3536946965,0.7948526315,0.2223174244,0.2675700075,0.1463895097
25,2.7248968282,0.4110240316,1.1199980799,0.2701932008,0.3952879914,0.1537172326
26,3.9494945050,0.4305977813,1.7006435713,0.3197995677,0.4122864960,0.2076546673
27,2.6540071333,0.4215572913,1.1188160581,0.2353871005,0.3314389154,0.1997007034
28,2.4941827221,0.4245936988,1.0590142676,0.2987972855,0.2848276346,0.1702949016
29,2.5045225993,0.4562057022,1.1425774912,0.3709604980,0.3516133121,0.1760157755
30,2.5094470836,0.3533339053,0.8866727382,0.2466503456,0.2396648012,0.1303629549
31,2.1452547389,0.2893172253,0.6206591486,0.1859483731,0.2441061459,0.1081263927
32,2.1417083792,0.4941252713,1.0582722339,0.3535835122,0.3351285887,0.1900220516
33,3.1713218275,0.3901307778,1.2372302513,0.3121180623,0.3212090423,0.1539549910
34,3.2059844067,0.4280693880,1.3723837829,0.2746086367,0.4168699348,0.1693042054
35,2.4807322397,0.4179618446,1.0368514230,0.2796910410,0.3175096515,0.1458015656
36,3.1437908772,0.4377992579,1.3763493130,0.3065790936,0.5059749406,0.1791633354
37,3.6306945549,0.4866061446,1.7667182797,0.3860273882,0.4112487262,0.1815423766
38,2.7248597439,0.4427288575,1.2063740412,0.3079738228,0.3496746863,0.2197624689
39,2.7965891468,0.5938738587,1.6608211877,0.4181437201,0.4899572304,0.2880070253
40,3.4237688865,0.3691974928,1.2640468889,0.2572498148,0.4810991139,0.1251964302
41,2.8233115005,0.3658457734,1.0328965795,0.2450013591,0.2901960583,0.1429865025
42,2.4313298828,0.3436386364,0.8354988854,0.2126750982,0.2859347191,0.1625297295
43,2.0563796231,0.3488197802,0.7173058881,0.2494339628,0.2460146086,0.1519579454
44,2.0905940311,0.3441444331,0.7194662976,0.2194951236,0.2614786529,0.1514467441
45,2.8941484897,0.5382994145,1.5579184375,0.4198657793,0.4562379718,0.1883861217
46,3.1810971283,0.3497658442,1.1126391226,0.2482111469,0.3373368029,0.1472529526
47,2.2516728641,0.3246401664,0.7309834533,0.1941757891,0.2154856452,0.1550340503
48,2.2572375450,0.4194566600,0.9468133215,0.2620494397,0.3106274762,0.1628815407
49,2.3736283437,0.3438502844,0.8161727810,0.2517378423,0.3253442235,0.1367557271
50,2.8952928331,0.3502372211,1.0140393162,0.2424001151,0.3386209374,0.1401639243
51,2.7741216769,0.4187041758,1.1615363302,0.3324630485,0.3747947316,0.1934902853
52,2.6606152416,0.4336494626,1.1537743696,0.3597303925,0.2795436060,0.1869338749
53,2.5065306370,0.3410493044,0.8548505303,0.2147850882,0.3329907289,0.1359138497
54,2.6819926031,0.4441626378,1.1912409091,0.3194609943,0.3706278789,0.1803423965
55,2.6691893515,0.4002157939,1.0682517353,0.3450298399,0.2849014118,0.1598722742
56,2.7317910624,0.4683874089,1.2795365374,0.3726490887,0.3386513101,0.2071056759
57,2.3985642682,0.4473934954,1.0731020519,0.2996709193,0.3485513174,0.1985777718
58,2.7305177648,0.4176422734,1.1403796469,0.3630721639,0.3158190263,0.1644342373
59,3.1177345424,0.3546723075,1.1057741043,0.2402409115,0.3063475126,0.1548283655
60,2.5834869332,0.3951577420,1.0208848630,0.3116397683,0.2863521159,0.1533010815
61,2.9302457376,0.3918252586,1.1481442940,0.2690803288,0.4078718872,0.1539216506
62,2.5828983735,0.4813997037,1.2434065116,0.3075132815,0.3381328935,0.2619677121
63,2.7013224286,0.4921393224,1.3294269897,0.3105859159,0.4295933787,0.1574128838
64,2.7882129134,0.3869704956,1.0789561329,0.2903566401,0.3367486922,0.1994469177
