scenario,R_mean_s_mean,R_mean_s_stdev,R_mean_s_ci_low95,R_mean_s_ci_high95,X_jobs_per_s_mean,X_jobs_per_s_stdev,X_jobs_per_s_ci_low95,X_jobs_per_s_ci_high95,U_A_mean,U_A_stdev,U_A_ci_low95,U_A_ci_high95,U_B_mean,U_B_stdev,U_B_ci_low95,U_B_ci_high95,U_P_mean,U_P_stdev,U_P_ci_low95,U_P_ci_high95,n_completed_mean,n_completed_stdev,n_completed_ci_low95,n_completed_ci_high95
1FA (base) (finite),2.5980026716434157,0.010616486172688337,2.59535075230117,2.6006545909856613,0.3335290075231481,0.001934447500349384,0.333045796914733,0.33401221813156323,0.21997007574725583,0.0012215116323478245,0.21966495121999607,0.22027520027451558,0.24039159820739767,0.0012712032322405326,0.24007406108780188,0.24070913532699345,0.13161223251403115,0.0007473889290231388,0.13142554031429413,0.13179892471376817,28816.90625,167.13626403018662,28775.156853432934,28858.655646567066
1FA (base) — B x2 (finite),2.295364254437117,0.0052761944657635325,2.294046300273224,2.29668220860101,0.3335304542824074,0.0019346467193103835,0.33304719391057647,0.33401371465423835,0.22059580097460674,0.0012130325007186319,0.22029279447140948,0.220898807477804,0.12108144728636655,0.0006598756589668344,0.12091661525107476,0.12124627932165834,0.1320532205854697,0.0007492475566121553,0.13186606411437463,0.13224037705656477,28817.03125,167.1534765484171,28775.277553873806,28858.784946126194
1FA (base) — heavy +15% (finite),2.719006661658542,0.01126663275641992,2.71619234053169,2.721820982785394,0.38334219473379627,0.0020562498560425017,0.3828285588021867,0.38385583066540585,0.2507479734707691,0.0012717688910408211,0.2504302950538091,0.2510656518877291,0.27294052892388004,0.001430598508892007,0.2725831760488319,0.27329788179892817,0.1505799840789778,0.0007795238524823881,0.15038526481419337,0.15077470334376222,33120.765625,177.65998756207193,33076.38748050893,33165.14376949107
2FA (SCA) (finite),3.2691829799108527,0.014683619185897433,3.265515120969593,3.2728508388521123,0.33352647569444444,0.0019337572540575221,0.333043437504423,0.33400951388446587,0.23349370696077607,0.0012798037725152431,0.23317402149014047,0.23381339243141167,0.24016918323966516,0.0012749099090734498,0.2398507202197452,0.2404876462595851,0.22507553936980396,0.0012377832830947535,0.22476635030512154,0.22538472843448637,28816.6875,167.07662675056977,28774.95300038215,28858.42199961785
2FA (SCA) — B x2 (finite),2.9132350979162536,0.009436886652916034,2.910877833767045,2.9155923620654622,0.3335271990740741,0.0019339168251888553,0.33304412102437,0.3340102771237782,0.23400466227803682,0.0012858809397705152,0.23368345877618749,0.23432586577988615,0.12095643242005759,0.000660660217142319,0.12079140440796456,0.12112146043215062,0.22493459955034092,0.0012305482918285502,0.224627217732705,0.22524198136797685,28816.75,167.09041369631697,28775.012056505566,28858.487943494434
2FA (SCA) — heavy +15% (finite),3.4566285762850293,0.017702995366397106,3.4522064996144444,3.461050652955614,0.3833394820601852,0.0020569841592977802,0.38282566270507995,0.38385330141529045,0.266201475482675,0.0013457917748610632,0.26586530669948844,0.2665376442658615,0.27269065112657537,0.0013902856281982473,0.27234336810951176,0.27303793414363897,0.2565433341363206,0.0012764490207585527,0.25622448665774067,0.2568621816149005,33120.53125,177.723431363328,33076.1372577189,33164.9252422811
1FA (base) (finite),2.5980026716434157,0.010616486172688337,2.59535075230117,2.6006545909856613,0.3335290075231481,0.001934447500349384,0.333045796914733,0.33401221813156323,0.21997007574725583,0.0012215116323478245,0.21966495121999607,0.22027520027451558,0.24039159820739767,0.0012712032322405326,0.24007406108780188,0.24070913532699345,0.13161223251403115,0.0007473889290231388,0.13142554031429413,0.13179892471376817,28816.90625,167.13626403018662,28775.156853432934,28858.655646567066
1FA (base) (finite),2.5980026716434157,0.010616486172688337,2.59535075230117,2.6006545909856613,0.3335290075231481,0.001934447500349384,0.333045796914733,0.33401221813156323,0.21997007574725583,0.0012215116323478245,0.21966495121999607,0.22027520027451558,0.24039159820739767,0.0012712032322405326,0.24007406108780188,0.24070913532699345,0.13161223251403115,0.0007473889290231388,0.13142554031429413,0.13179892471376817,28816.90625,167.13626403018662,28775.156853432934,28858.655646567066
1FA (base) — B x2 (finite),2.295364254437117,0.0052761944657635325,2.294046300273224,2.29668220860101,0.3335304542824074,0.0019346467193103835,0.33304719391057647,0.33401371465423835,0.22059580097460674,0.0012130325007186319,0.22029279447140948,0.220898807477804,0.12108144728636655,0.0006598756589668344,0.12091661525107476,0.12124627932165834,0.1320532205854697,0.0007492475566121553,0.13186606411437463,0.13224037705656477,28817.03125,167.1534765484171,28775.277553873806,28858.784946126194
1FA (base) — heavy +15% (finite),2.719006661658542,0.01126663275641992,2.71619234053169,2.721820982785394,0.38334219473379627,0.0020562498560425017,0.3828285588021867,0.38385583066540585,0.2507479734707691,0.0012717688910408211,0.2504302950538091,0.2510656518877291,0.27294052892388004,0.001430598508892007,0.2725831760488319,0.27329788179892817,0.1505799840789778,0.0007795238524823881,0.15038526481419337,0.15077470334376222,33120.765625,177.65998756207193,33076.38748050893,33165.14376949107
2FA (SCA) (finite),3.2691829799108527,0.014683619185897433,3.265515120969593,3.2728508388521123,0.33352647569444444,0.0019337572540575221,0.333043437504423,0.33400951388446587,0.23349370696077607,0.0012798037725152431,0.23317402149014047,0.23381339243141167,0.24016918323966516,0.0012749099090734498,0.2398507202197452,0.2404876462595851,0.22507553936980396,0.0012377832830947535,0.22476635030512154,0.22538472843448637,28816.6875,167.07662675056977,28774.95300038215,28858.42199961785
2FA (SCA) — B x2 (finite),2.9132350979162536,0.009436886652916034,2.910877833767045,2.9155923620654622,0.3335271990740741,0.0019339168251888553,0.33304412102437,0.3340102771237782,0.23400466227803682,0.0012858809397705154,0.23368345877618749,0.23432586577988615,0.12095643242005759,0.000660660217142319,0.12079140440796456,0.12112146043215062,0.22493459955034092,0.0012305482918285502,0.224627217732705,0.22524198136797685,28816.75,167.09041369631697,28775.012056505566,28858.487943494434
2FA (SCA) — heavy +15% (finite),3.4566285762850293,0.017702995366397106,3.4522064996144444,3.461050652955614,0.3833394820601852,0.0020569841592977802,0.38282566270507995,0.38385330141529045,0.266201475482675,0.0013457917748610632,0.26586530669948844,0.2665376442658615,0.27269065112657537,0.0013902856281982473,0.27234336810951176,0.27303793414363897,0.2565433341363206,0.0012764490207585527,0.25622448665774067,0.2568621816149005,33120.53125,177.723431363328,33076.1372577189,33164.9252422811
